id,shopping_ads_excluded_country,custom_label_3
shopify_us_7890730877003_42685109731403,"US",claude-exclusie-27jul
shopify_us_7890730877003_42685109895243,"US",claude-exclusie-27jul
shopify_us_7890730877003_42685110157387,"US",claude-exclusie-27jul
shopify_us_7899181318219_42712405082187,"US",claude-exclusie-27jul
shopify_us_7899181318219_42712405114955,"FR",claude-exclusie-27jul
shopify_us_7903845285963_42723245981771,"FR,US",claude-exclusie-27jul
shopify_us_7903845285963_42723246080075,"FR",claude-exclusie-27jul
shopify_us_7903845285963_42723246145611,"FR",claude-exclusie-27jul
shopify_us_7903845285963_42723246309451,"FR",claude-exclusie-27jul
shopify_us_7903845285963_42723246571595,"FR,US",claude-exclusie-27jul
shopify_us_7903845285963_42723246604363,"US",claude-exclusie-27jul
shopify_us_7903845285963_42723246702667,"FR",claude-exclusie-27jul
shopify_zz_7890730877003_42685109731403,"US",claude-exclusie-27jul
shopify_zz_7890730877003_42685109895243,"GB,US",claude-exclusie-27jul
shopify_zz_7890730877003_42685110157387,"US",claude-exclusie-27jul
shopify_zz_7899181318219_42712405082187,"GB,US",claude-exclusie-27jul
shopify_zz_7899181318219_42712405114955,"FR",claude-exclusie-27jul
shopify_zz_7899181318219_42712405147723,"GB",claude-exclusie-27jul
shopify_zz_7903845285963_42723245981771,"FR,GB,US",claude-exclusie-27jul
shopify_zz_7903845285963_42723246080075,"FR",claude-exclusie-27jul
shopify_zz_7903845285963_42723246145611,"FR",claude-exclusie-27jul
shopify_zz_7903845285963_42723246309451,"FR,GB",claude-exclusie-27jul
shopify_zz_7903845285963_42723246571595,"FR,US",claude-exclusie-27jul
shopify_zz_7903845285963_42723246604363,"US",claude-exclusie-27jul
shopify_zz_7903845285963_42723246702667,"FR",claude-exclusie-27jul
